AF,1
AL,2
DZ,3
AD,5
AO,6
AG,9
AR,10
AM,11
AU,13
AT,14
AZ,15
BS,16
BH,17
BD,18
BB,19
BY,20
BE,21
BZ,22
BJ,23
BT,25
BO,26
BA,27
BW,28
BR,30
BN,32
BG,33
BF,34
BI,35
KH,36
CM,37
CA,38
CV,39
CF,41
TD,42
CL,43
CN,44
CO,47
KM,48
CG,49
CD,50
GD,51
CR,52
CI,53
HR,54
CU,55
CY,56
CZ,57
DK,58
DJ,59
DM,60
DO,61
TL,62
EC,63
EG,64
SV,65
GQ,66
ER,67
EE,68
ET,69
FJ,72
FI,73
FR,74
GA,79
GM,80
GE,81
DE,82
GH,83
GR,85
GT,90
GN,92
GW,93
GY,94
HT,95
HN,97
HU,99
IS,100
IN,101
ID,102
IR,103
IQ,104
IE,105
IL,107
IT,108
JM,109
JP,110
JO,112
KZ,113
KE,114
KI,115
KP,116
KR,117
KW,118
KG,119
LA,120
LV,121
LB,122
LS,123
LR,124
LY,125
LI,126
LT,127
LU,128
MK,130
MG,131
MW,132
MY,133
MV,134
ML,135
MT,136
MH,137
MR,139
MU,140
MX,142
FM,143
MD,144
MC,145
MN,146
MA,148
MZ,149
MM,150
NA,151
NR,152
NP,153
NL,154
NZ,157
NI,158
NE,159
NG,160
NO,164
OM,165
PK,166
PW,167
PA,168
PG,170
PY,171
PE,172
PH,173
PL,175
PT,176
QA,178
RO,180
RU,181
RW,182
KN,183
LC,184
VC,185
WS,186
SM,187
ST,188
SA,189
SN,190
SC,191
SL,192
SG,193
SK,194
SI,195
SB,196
SO,197
ZA,198
ES,200
LK,201
SD,204
SR,205
SZ,207
SE,208
CH,209
SY,210
TW,211
TJ,212
TZ,213
TH,214
TG,215
TO,217
TT,218
TN,219
TR,220
TM,221
TV,223
UG,224
UA,225
AE,226
GB,227
US,228
UY,230
UZ,231
VU,232
VA,233
VE,234
VN,235
EH,239
YE,240
RS,241
MN,242
ZM,243
ZW,244
HK,245